date,price
2024-10-13 00:00:00,984091261.9682325
2024-10-14 00:00:00,978296825.2706017
2024-10-15 00:00:00,1029058920.9639112
2024-10-16 00:00:00,1043665942.4724326
2024-10-17 00:00:00,1054602911.4227468
2024-10-18 00:00:00,1045268834.3172097
2024-10-19 00:00:00,1059460954.5710001
2024-10-20 00:00:00,1058273330.441033
2024-10-21 00:00:00,1067154955.7285998
2024-10-22 00:00:00,1048865954.3336854
2024-10-23 00:00:00,1050141336.7239059
2024-10-24 00:00:00,1044724987.9089313
2024-10-25 00:00:00,1066333354.233669
2024-10-26 00:00:00,1045068676.3134859
2024-10-27 00:00:00,1051856801.7587292
2024-10-28 00:00:00,1066839060.6590266
2024-10-29 00:00:00,1100272832.3730028
2024-10-30 00:00:00,1148053540.1747465
